#=============================================================
# Ncomp             Name      density(g/cm^3)  I(eV) ChFormula
#=============================================================
 6            G4_A-150_TISSUE      1.127      65.1
         1      0.101327
         6        0.7755
         7      0.035057
         8     0.0523159
         9      0.017422
        20      0.018378
 3                 G4_ACETONE     0.7899      64.2
         6             3
         1             6
         8             1
 2               G4_ACETYLENE  0.0010967      58.2
         6             2
         1             2
 3                 G4_ADENINE        1.6      71.4
         6             5
         1             5
         7             5
 7     G4_ADIPOSE_TISSUE_ICRP       0.95      63.2
         1         0.114
         6         0.598
         7         0.007
         8         0.278
        11         0.001
        16         0.001
        17         0.001
 4                     G4_AIR 0.00120479      85.7
         6      0.000124
         7      0.755268
         8      0.231781
        18      0.012827
 4                 G4_ALANINE       1.42      71.9
         6             3
         1             7
         7             1
         8             2
 2          G4_ALUMINUM_OXIDE       3.97     145.2   Al_2O_3
        13             2
         8             3
 3                   G4_AMBER        1.1      63.2
         1       0.10593
         6      0.788974
         8      0.105096
 2                 G4_AMMONIA 0.000826019      53.7
         7             1
         1             3
 3                 G4_ANILINE     1.0235      66.2
         6             6
         1             7
         7             1
 2              G4_ANTHRACENE      1.283      69.5
         6            14
         1            10
 6              G4_B-100_BONE       1.45      85.9
         1     0.0654709
         6      0.536944
         7        0.0215
         8      0.032085
         9      0.167411
        20      0.176589
 3                G4_BAKELITE       1.25      72.4
         1      0.057441
         6      0.774591
         8      0.167968
 2         G4_BARIUM_FLUORIDE       4.89     375.9
        56             1
         9             2
 3          G4_BARIUM_SULFATE        4.5     285.7
        56             1
        16             1
         8             4
 2                 G4_BENZENE    0.87865      63.4
         6             6
         1             6
 2         G4_BERYLLIUM_OXIDE       3.01      93.2
         4             1
         8             1
 3                     G4_BGO       7.13     534.1
        83             4
        32             3
         8            12
10              G4_BLOOD_ICRP       1.06      75.2
         1         0.102
         6          0.11
         7         0.033
         8         0.745
        11         0.001
        15         0.001
        16         0.002
        17         0.003
        19         0.002
        26         0.001
 8       G4_BONE_COMPACT_ICRU       1.85      91.9
         1         0.064
         6         0.278
         7         0.027
         8          0.41
        12         0.002
        15          0.07
        16         0.002
        20         0.147
 9      G4_BONE_CORTICAL_ICRP       1.92       110
         1         0.034
         6         0.155
         7         0.042
         8         0.435
        11         0.001
        12         0.002
        15         0.103
        16         0.003
        20         0.225
 2           G4_BORON_CARBIDE       2.52      84.7
         5             4
         6             1
 2             G4_BORON_OXIDE      1.812      99.6
         5             2
         8             3
 9              G4_BRAIN_ICRP       1.04      73.3
         1         0.107
         6         0.145
         7         0.022
         8         0.712
        11         0.002
        15         0.004
        16         0.002
        17         0.003
        19         0.003
 2                  G4_BUTANE 0.00249343      48.3
         6             4
         1            10
 3         G4_N-BUTYL_ALCOHOL     0.8098      59.9
         6             4
         1            10
         8             1
 5                   G4_C-552       1.76      86.8
         1       0.02468
         6      0.501611
         8      0.004527
         9      0.465209
        14      0.003973
 2       G4_CADMIUM_TELLURIDE        6.2     539.3
        48             1
        52             1
 3       G4_CADMIUM_TUNGSTATE        7.9     468.3
        48             1
        74             1
         8             4
 3       G4_CALCIUM_CARBONATE        2.8     136.4
        20             1
         6             1
         8             3
 2        G4_CALCIUM_FLUORIDE       3.18       166
        20             1
         9             2
 2           G4_CALCIUM_OXIDE        3.3     176.1
        20             1
         8             1
 3         G4_CALCIUM_SULFATE       2.96     152.3
        20             1
        16             1
         8             4
 3       G4_CALCIUM_TUNGSTATE      6.062       395
        20             1
        74             1
         8             4
 2          G4_CARBON_DIOXIDE 0.00184212        85   CO_2
         6             1
         8             2
 2    G4_CARBON_TETRACHLORIDE      1.594     166.3
         6             1
        17             4
 3    G4_CELLULOSE_CELLOPHANE       1.42      77.6
         6             6
         1            10
         8             5
 3      G4_CELLULOSE_BUTYRATE        1.2      74.6
         1      0.067125
         6      0.545403
         8      0.387472
 4       G4_CELLULOSE_NITRATE       1.49        87
         1      0.029216
         6      0.271296
         7      0.121276
         8      0.578212
 5           G4_CERIC_SULFATE       1.03      76.7
         1      0.107596
         7        0.0008
         8      0.874976
        16      0.014627
        58      0.002001
 2         G4_CESIUM_FLUORIDE      4.115     440.7
        55             1
         9             1
 2           G4_CESIUM_IODIDE       4.51     553.1
        55             1
        53             1
 3           G4_CHLOROBENZENE     1.1058      89.1
         6             6
         1             5
        17             1
 3              G4_CHLOROFORM     1.4832       156
         6             1
         1             1
        17             3
10                G4_CONCRETE        2.3     135.2
         1          0.01
         6         0.001
         8      0.529107
        11         0.016
        12         0.002
        13      0.033872
        14      0.337021
        19         0.013
        20         0.044
        26         0.014
 2             G4_CYCLOHEXANE      0.779      56.4
         6             6
         1            12
 3     G4_1,2-DICHLOROBENZENE     1.3048     106.5
         6             6
         1             4
        17             2
 4   G4_DICHLORODIETHYL_ETHER     1.2199     103.3
         6             4
         1             8
         8             1
        17             2
 3      G4_1,2-DICHLOROETHANE     1.2351     111.9
         6             2
         1             4
        17             2
 3           G4_DIETHYL_ETHER    0.71378        60
         6             4
         1            10
         8             1
 4  G4_N,N-DIMETHYL_FORMAMIDE     0.9487      66.6
         6             3
         1             7
         7             1
         8             1
